epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.078,1.55845,2.20718,1.56788,0.03968,0.43045,0.02646,0.01031,2.27873,51.1106,4.06666,0.000549938,0.000549938,0.000549938
2,215.377,1.72459,1.95154,1.65657,0.00278,0.19685,0.00153,0.00047,3.79526,566.85,23.7695,0.00109466,0.00109466,0.00109466
3,382.665,1.87722,1.84853,1.73815,0.02131,0.19685,0.01024,0.00421,2.62732,24.1075,25.6182,0.00162838,0.00162838,0.00162838
4,484.231,1.86853,1.72394,1.69014,0.5342,0.48294,0.48102,0.19697,2.26017,2.34354,2.40041,0.00161749,0.00161749,0.00161749
5,586.799,1.70331,1.51159,1.61636,0.56678,0.30971,0.35036,0.19023,2.22608,2.68727,2.30471,0.00160099,0.00160099,0.00160099
6,685.578,1.61183,1.28125,1.5457,0.17384,0.04199,0.02563,0.01278,1.93992,2.30072,2.19283,0.00158448,0.00158448,0.00158448
7,787.279,1.54744,1.24303,1.48431,0.66268,0.51563,0.56845,0.32331,1.65626,1.82189,1.64413,0.00156798,0.00156798,0.00156798
8,889.562,1.57269,1.13144,1.51141,0.88479,0.8189,0.89569,0.53806,1.51469,1.05793,1.57799,0.00155148,0.00155148,0.00155148
9,992.3,1.50205,1.0911,1.45006,0.9451,0.90289,0.96777,0.62242,1.22216,1.00608,1.36321,0.00153497,0.00153497,0.00153497
10,1095.82,1.49403,1.08766,1.49104,0.91999,0.93563,0.97702,0.65736,1.18941,0.78637,1.33585,0.00151847,0.00151847,0.00151847
11,1253.49,1.37831,0.98099,1.37224,0.93978,0.93701,0.98281,0.65757,1.2023,0.6736,1.33497,0.00150197,0.00150197,0.00150197
12,1356.45,1.36716,0.89708,1.37525,0.6365,0.5469,0.6013,0.33305,1.73168,1.5989,1.76806,0.00148546,0.00148546,0.00148546
13,1467.42,1.30421,0.90789,1.33714,0.93407,0.91339,0.9668,0.64636,1.18894,0.72756,1.3344,0.00146896,0.00146896,0.00146896
14,1571.88,1.31117,0.91776,1.35671,0.94517,0.95022,0.9876,0.68382,1.11845,0.70255,1.309,0.00145246,0.00145246,0.00145246
15,1676.22,1.30078,0.82727,1.36344,0.94068,0.91864,0.97637,0.68678,1.08811,0.6825,1.25561,0.00143595,0.00143595,0.00143595
16,1779.95,1.28432,0.84343,1.31483,0.93769,0.90289,0.95855,0.64355,1.22206,0.7001,1.35856,0.00141945,0.00141945,0.00141945
17,1882.35,1.32758,0.91237,1.37957,0.92516,0.84363,0.916,0.62703,1.14884,0.87464,1.30108,0.00140295,0.00140295,0.00140295
18,1985.53,1.23257,0.75994,1.29388,0.95404,0.98077,0.98501,0.68809,1.07634,0.58369,1.24376,0.00138644,0.00138644,0.00138644
19,2088.55,1.20195,0.7525,1.26934,0.97354,0.96558,0.99093,0.71707,1.02645,0.5562,1.21099,0.00136994,0.00136994,0.00136994
20,2193.16,1.23749,0.76379,1.28802,0.96098,0.96958,0.98824,0.70515,1.07883,0.59274,1.23847,0.00135344,0.00135344,0.00135344
21,2294.44,1.20095,0.74781,1.26933,0.96324,0.95276,0.97991,0.67185,1.17119,0.61873,1.32243,0.00133693,0.00133693,0.00133693
22,2394.71,1.22644,0.72309,1.28716,0.94807,0.95841,0.98285,0.7017,1.07608,0.58034,1.24115,0.00132043,0.00132043,0.00132043
23,2495.18,1.22656,0.75432,1.29382,0.95798,0.95741,0.9901,0.71442,0.99623,0.55455,1.18678,0.00130393,0.00130393,0.00130393
24,2595.75,1.13896,0.68036,1.22965,0.9719,0.97375,0.99182,0.73758,0.95711,0.49313,1.14946,0.00128742,0.00128742,0.00128742
25,2696.83,1.10241,0.64425,1.19852,0.97117,0.97251,0.99069,0.75527,0.89706,0.48888,1.13376,0.00127092,0.00127092,0.00127092
26,2799.4,1.13693,0.68144,1.22693,0.97558,0.98688,0.9925,0.74598,0.96471,0.51389,1.17427,0.00125442,0.00125442,0.00125442
27,2899.66,1.09974,0.68561,1.20383,0.98686,0.98425,0.99401,0.76394,0.88451,0.46472,1.12771,0.00123791,0.00123791,0.00123791
28,3001.59,1.04037,0.62765,1.17614,0.97408,0.99475,0.99339,0.76525,0.92811,0.44962,1.15046,0.00122141,0.00122141,0.00122141
29,3102.64,1.06423,0.6272,1.17916,0.98383,0.98688,0.99387,0.77506,0.86267,0.44407,1.10789,0.00120491,0.00120491,0.00120491
30,3205.27,1.04691,0.61996,1.18671,0.98153,0.97622,0.9929,0.76627,0.8851,0.46543,1.10629,0.0011884,0.0011884,0.0011884
31,3305.74,1.03278,0.62354,1.1851,0.97363,0.99213,0.9938,0.76567,0.91389,0.46833,1.12409,0.0011719,0.0011719,0.0011719
32,3406.81,1.10064,0.64526,1.21625,0.97646,0.99213,0.99238,0.73617,0.99428,0.46805,1.1996,0.0011554,0.0011554,0.0011554
33,3507.59,1.03746,0.59522,1.17496,0.97987,0.99213,0.99394,0.76495,0.90974,0.44407,1.13367,0.00113889,0.00113889,0.00113889
34,3608.49,1.02931,0.6052,1.17076,0.9752,0.95538,0.99129,0.77469,0.8869,0.44608,1.13152,0.00112239,0.00112239,0.00112239
35,3709.72,1.02279,0.59473,1.17265,0.97941,0.99475,0.99436,0.76197,0.90808,0.43895,1.13819,0.00110589,0.00110589,0.00110589
36,3810.16,0.94944,0.57488,1.13824,0.9801,0.98688,0.99385,0.7816,0.86678,0.41619,1.11062,0.00108938,0.00108938,0.00108938
37,3912.03,0.98031,0.57602,1.15578,0.98169,0.98521,0.99395,0.77633,0.90114,0.44247,1.13038,0.00107288,0.00107288,0.00107288
38,4012.96,1.01,0.57746,1.1498,0.98683,0.98329,0.99413,0.77675,0.86675,0.42971,1.09555,0.00105638,0.00105638,0.00105638
39,4113.95,0.98077,0.5721,1.14256,0.98952,0.99111,0.99367,0.7706,0.88392,0.41407,1.11067,0.00103987,0.00103987,0.00103987
40,4214.25,0.98766,0.57818,1.16849,0.97151,0.98453,0.9921,0.76585,0.88935,0.42654,1.12335,0.00102337,0.00102337,0.00102337
41,4314.91,0.98847,0.55772,1.15936,0.98438,0.99243,0.99452,0.78164,0.85861,0.42985,1.09988,0.00100687,0.00100687,0.00100687
42,4415.97,0.95627,0.54902,1.14244,0.99471,0.98632,0.99466,0.7815,0.85723,0.3988,1.09663,0.000990365,0.000990365,0.000990365
43,4515.78,0.98156,0.54318,1.13224,0.98954,0.99313,0.99429,0.79023,0.80664,0.38749,1.07431,0.000973861,0.000973861,0.000973861
44,4617.05,0.96302,0.53116,1.13006,0.98697,0.99433,0.99435,0.80449,0.79773,0.38687,1.06582,0.000957358,0.000957358,0.000957358
45,4718.39,0.92747,0.50038,1.11141,0.984,0.99213,0.99444,0.80329,0.79492,0.38531,1.06355,0.000940855,0.000940855,0.000940855
46,4819.86,0.93521,0.51505,1.12072,0.99213,0.99256,0.99492,0.81905,0.76916,0.37477,1.03971,0.000924352,0.000924352,0.000924352
47,4921.34,0.94064,0.50582,1.12859,0.98994,0.9895,0.9946,0.80105,0.82087,0.39216,1.07249,0.000907848,0.000907848,0.000907848
48,5021.87,0.93894,0.52867,1.12313,0.98954,0.9934,0.99435,0.81866,0.7589,0.36705,1.04046,0.000891345,0.000891345,0.000891345
49,5124.13,0.94885,0.53499,1.13436,0.98917,0.9895,0.9938,0.81136,0.76618,0.36634,1.04853,0.000874842,0.000874842,0.000874842
