epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8896,1.60832,3.95966,1.75867,0.02701,0.5782,0.02062,0.00956,1.97672,nan,3.34136,0.000545377,0.000545377,0.000545377
2,131.158,1.75015,3.87784,1.84653,0.00252,0.74408,0.00228,0.00067,nan,nan,nan,0.00109014,0.00109014,0.00109014
3,191.134,2.12368,2.64846,2.11512,0.00055,0.11848,0.00033,7e-05,nan,nan,nan,0.00162391,0.00162391,0.00162391
4,251.818,2.05558,2.42076,2.03894,0.032,0.03318,0.00179,0.00065,nan,nan,nan,0.00161749,0.00161749,0.00161749
5,318.156,1.92568,2.34828,1.93999,0.00454,0.6872,0.00396,0.00148,2.82604,inf,32.6952,0.00160099,0.00160099,0.00160099
6,378.333,2.08198,2.03387,1.98025,0.79433,0.58573,0.63845,0.32668,1.78166,2.5708,2.03358,0.00158448,0.00158448,0.00158448
7,437.53,1.91522,2.11828,1.87677,0.00344,0.00948,0.00018,0.00013,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,496.427,1.72244,1.68093,1.77687,0.62296,0.19905,0.19786,0.0971,2.58616,7.70406,4.0614,0.00155148,0.00155148,0.00155148
9,554.988,1.69669,1.61793,1.74429,0.08474,0.51659,0.05978,0.02896,1.95825,10.5813,2.84168,0.00153497,0.00153497,0.00153497
10,613.825,1.65771,1.54578,1.71943,0.81919,0.62559,0.65707,0.38078,1.89494,2.80457,2.2021,0.00151847,0.00151847,0.00151847
11,673.024,1.58667,1.56045,1.6876,0.88473,0.75355,0.79181,0.46787,1.47751,1.57504,1.80391,0.00150197,0.00150197,0.00150197
12,732.637,1.53757,1.32703,1.62755,0.02588,0.82464,0.02371,0.01435,1.3518,70.0994,1.60834,0.00148546,0.00148546,0.00148546
13,791.578,1.44216,1.2521,1.5574,0.83138,0.77725,0.75694,0.474,1.28602,1.32664,1.52503,0.00146896,0.00146896,0.00146896
14,851.535,1.4172,1.23623,1.5364,0.81864,0.77013,0.81174,0.46913,1.38121,1.47887,1.59949,0.00145246,0.00145246,0.00145246
15,910.863,1.47905,1.21095,1.60687,0.89308,0.83134,0.91072,0.52539,1.38637,1.33654,1.70668,0.00143595,0.00143595,0.00143595
16,970.081,1.4427,1.20834,1.58307,0.93928,0.85782,0.92646,0.55658,1.19312,1.10367,1.47584,0.00141945,0.00141945,0.00141945
17,1031.69,1.44058,1.17403,1.57666,0.90791,0.90047,0.92967,0.59243,1.20895,0.9702,1.50136,0.00140295,0.00140295,0.00140295
18,1091.16,1.46219,1.11525,1.56194,0.9339,0.8673,0.93225,0.608,1.22039,0.87495,1.46961,0.00138644,0.00138644,0.00138644
19,1152.86,1.35283,1.08939,1.50111,0.93578,0.82866,0.90022,0.5889,1.16558,0.93623,1.45684,0.00136994,0.00136994,0.00136994
20,1211.43,1.32072,1.10818,1.48827,0.78293,0.90598,0.82794,0.55098,1.13504,1.04023,1.41513,0.00135344,0.00135344,0.00135344
21,1271.67,1.2603,1.02152,1.41828,0.91769,0.8983,0.93078,0.62679,1.12396,0.85299,1.40285,0.00133693,0.00133693,0.00133693
22,1331.99,1.21997,1.00388,1.37528,0.92583,0.95261,0.96959,0.66278,1.08007,0.81763,1.36756,0.00132043,0.00132043,0.00132043
